Perfect! I’ll continue and generate the **full merchant admin table** for all your remaining merchants in the same format, ready for CSV import. I’ll use placeholders for logos (`[Logo URL]`) and example aliases/regex where appropriate.

Here’s the continuation from the last entry (starting with Fior D’ Italia):

---

| Merchant                              | Category                   | Type       | Frequency  | Status | Confidence | Aliases/Regex                              | Logo        |
| ------------------------------------- | -------------------------- | ---------- | ---------- | ------ | ---------- | ------------------------------------------ | ----------- |
| Fior D' Italia                        | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Fior D' Italia, Fior D Italia              | \[Logo URL] |
| Flour & Water Pizze                   | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Flour & Water, Flour & Water Pizza         | \[Logo URL] |
| Ghirardelli                           | Restaurants & Bars         | Expense    | Recurring  | Active | High       | Ghirardelli, Ghirardelli Chocolate         | \[Logo URL] |
| Hayes Valley                          | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Hayes Valley                               | \[Logo URL] |
| Hole In The Wall                      | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Hole In The Wall                           | \[Logo URL] |
| Ice Cream Cart                        | Restaurants & Bars         | Expense    | Occasional | Active | Medium     | Ice Cream Cart                             | \[Logo URL] |
| IHOP                                  | Restaurants & Bars         | Expense    | Recurring  | Active | High       | IHOP                                       | \[Logo URL] |
| In-N-Out Burger                       | Restaurants & Bars         | Expense    | Recurring  | Active | High       | In-N-Out, In-N-Out Burger                  | \[Logo URL] |
| It'sugar Jefferson                    | Restaurants & Bars         | Expense    | Occasional | Active | Medium     | It'sugar, Itsugar Jefferson                | \[Logo URL] |
| Joe's Ice Cream                       | Restaurants & Bars         | Expense    | Occasional | Active | Medium     | Joe's Ice Cream, Joes Ice Cream            | \[Logo URL] |
| Lush Gelato                           | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Lush Gelato                                | \[Logo URL] |
| Mediterranean Pizza                   | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Mediterranean Pizza                        | \[Logo URL] |
| Mod Pizza                             | Restaurants & Bars         | Expense    | Recurring  | Active | High       | Mod Pizza                                  | \[Logo URL] |
| Norman's Ice Cream &                  | Restaurants & Bars         | Expense    | Occasional | Active | Medium     | Norman's Ice Cream, Normans Ice Cream      | \[Logo URL] |
| Pieology Pizzeria                     | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Pieology Pizzeria                          | \[Logo URL] |
| Pizza Local Venice                    | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Pizza Local Venice                         | \[Logo URL] |
| Players Sports Grill                  | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Players Sports Grill                       | \[Logo URL] |
| Stella Pastry                         | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Stella Pastry                              | \[Logo URL] |
| Subway                                | Restaurants & Bars         | Expense    | Recurring  | Active | High       | Subway                                     | \[Logo URL] |
| The Cheesecake Factory                | Restaurants & Bars         | Expense    | Recurring  | Active | High       | Cheesecake Factory, The Cheesecake Factory | \[Logo URL] |
| The Waffle Cone                       | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | Waffle Cone, The Waffle Cone               | \[Logo URL] |
| TOGO'S Sandwiches                     | Restaurants & Bars         | Expense    | Recurring  | Active | Medium     | TOGO'S, Togos Sandwiches                   | \[Logo URL] |
| TST\* SUPER DUPER - METREO            | Restaurants & Bars         | Expense    | Occasional | Active | Medium     | TST SUPER DUPER, TST Super Duper Metreo    | \[Logo URL] |
| Biscoff Coffee Corner                 | Coffee Shops               | Expense    | Recurring  | Active | Medium     | Biscoff Coffee, Biscoff Coffee Corner      | \[Logo URL] |
| Delah Coffee Sanso                    | Coffee Shops               | Expense    | Recurring  | Active | Medium     | Delah Coffee, Delah Coffee Sanso           | \[Logo URL] |
| Equator Coffees Fo                    | Coffee Shops               | Expense    | Recurring  | Active | Medium     | Equator Coffees                            | \[Logo URL] |
| Peet's Coffee                         | Coffee Shops               | Expense    | Recurring  | Active | High       | Peet's Coffee, Peets Coffee                | \[Logo URL] |
| Philz Coffee                          | Coffee Shops               | Expense    | Recurring  | Active | High       | Philz Coffee                               | \[Logo URL] |
| Starbucks                             | Coffee Shops               | Expense    | Recurring  | Active | High       | Starbucks                                  | \[Logo URL] |
| BMW                                   | Auto Payment               | Payment    | Recurring  | Active | High       | BMW                                        | \[Logo URL] |
